region,indicator,Unit,Date,Value
Lassen,selfpercapitause,gallons/day,1/1/2010 0:00,31
Lassen,public,Mgal/d,1/1/2005 0:00,6.75
Lassen,public,Mgal/d,1/1/2010 0:00,3.52
Lassen,publicpercapita,gallons/day,1/1/2010 0:00,211
Lassen,total,Mgal/d,1/1/2005 0:00,10.79
Lassen,total,Mgal/d,1/1/2010 0:00,4.08
Los Angeles,population,thousands,1/1/2000 0:00,1010.12
Los Angeles,population,thousands,1/1/2005 0:00,859.199
Los Angeles,population,thousands,1/1/2010 0:00,575.905
Los Angeles,groundwater,Mgal/d,1/1/2000 0:00,68.18
Los Angeles,groundwater,Mgal/d,1/1/2005 0:00,10.42
Los Angeles,groundwater,Mgal/d,1/1/2010 0:00,31.21
Los Angeles,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,7.58
Los Angeles,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,8.68
Los Angeles,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,9.23
Los Angeles,selfsupplied,Mgal/d,1/1/2000 0:00,75.76
Los Angeles,selfsupplied,Mgal/d,1/1/2005 0:00,19.1
Los Angeles,selfsupplied,Mgal/d,1/1/2010 0:00,40.44
Los Angeles,selfpercapitause,gallons/day,1/1/2010 0:00,70
Los Angeles,public,Mgal/d,1/1/2005 0:00,1106.66
Los Angeles,public,Mgal/d,1/1/2010 0:00,927.69
Los Angeles,publicpercapita,gallons/day,1/1/2010 0:00,100
Los Angeles,total,Mgal/d,1/1/2005 0:00,1125.76
Los Angeles,total,Mgal/d,1/1/2010 0:00,968.13
Madera,population,thousands,1/1/2000 0:00,49.07
Madera,population,thousands,1/1/2005 0:00,55.4
Madera,population,thousands,1/1/2010 0:00,50.385
Madera,groundwater,Mgal/d,1/1/2000 0:00,3.31
Madera,groundwater,Mgal/d,1/1/2005 0:00,8.71
Madera,groundwater,Mgal/d,1/1/2010 0:00,2.78
Madera,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.37
Madera,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.97
Madera,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.34
Madera,selfsupplied,Mgal/d,1/1/2000 0:00,3.68
Madera,selfsupplied,Mgal/d,1/1/2005 0:00,9.68
Madera,selfsupplied,Mgal/d,1/1/2010 0:00,3.12
