region,indicator,Unit,Date,Value,Preferred
Sutter,population,thousands,01/01/2010 00:00:00,6.757,YES
Sutter,groundwater,Mgal/d,01/01/2000 00:00:00,1.44,YES
Sutter,groundwater,Mgal/d,01/01/2005 00:00:00,6.47,YES
Sutter,groundwater,Mgal/d,01/01/2010 00:00:00,0.42,YES
Sutter,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.16,YES
Sutter,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0,YES
Sutter,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.09,YES
Sutter,selfsupplied,Mgal/d,01/01/2000 00:00:00,1.6,YES
Sutter,selfsupplied,Mgal/d,01/01/2005 00:00:00,6.47,YES
Sutter,selfsupplied,Mgal/d,01/01/2010 00:00:00,0.51,YES
Sutter,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Sutter,public,Mgal/d,01/01/2005 00:00:00,13.48,YES
Sutter,public,Mgal/d,01/01/2010 00:00:00,10.68,YES
Sutter,publicpercapita,gallons/day,01/01/2010 00:00:00,121,NO
Sutter,total,Mgal/d,01/01/2005 00:00:00,19.95,YES
Sutter,total,Mgal/d,01/01/2010 00:00:00,11.19,YES
Tehama,population,thousands,01/01/2000 00:00:00,32.59,YES
Tehama,population,thousands,01/01/2005 00:00:00,27.153,YES
Tehama,population,thousands,01/01/2010 00:00:00,28.093,YES
Tehama,groundwater,Mgal/d,01/01/2000 00:00:00,2.2,YES
Tehama,groundwater,Mgal/d,01/01/2005 00:00:00,6.63,YES
Tehama,groundwater,Mgal/d,01/01/2010 00:00:00,1.57,YES
Tehama,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.24,YES
Tehama,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,3.98,YES
Tehama,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.54,YES
Tehama,selfsupplied,Mgal/d,01/01/2000 00:00:00,2.44,YES
Tehama,selfsupplied,Mgal/d,01/01/2005 00:00:00,10.61,YES
Tehama,selfsupplied,Mgal/d,01/01/2010 00:00:00,2.11,YES
Tehama,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Tehama,public,Mgal/d,01/01/2005 00:00:00,15.75,YES
Tehama,public,Mgal/d,01/01/2010 00:00:00,4.18,YES
Tehama,publicpercapita,gallons/day,01/01/2010 00:00:00,118,NO
Tehama,total,Mgal/d,01/01/2005 00:00:00,26.36,YES
Tehama,total,Mgal/d,01/01/2010 00:00:00,6.29,YES
Trinity,population,thousands,01/01/2000 00:00:00,6.72,YES
Trinity,population,thousands,01/01/2005 00:00:00,5.96,YES
Trinity,population,thousands,01/01/2010 00:00:00,6.326,YES
Trinity,groundwater,Mgal/d,01/01/2000 00:00:00,0.45,YES
Trinity,groundwater,Mgal/d,01/01/2005 00:00:00,0.94,YES
Trinity,groundwater,Mgal/d,01/01/2010 00:00:00,0.36,YES
Trinity,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.05,YES
Trinity,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0,YES
Trinity,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.12,YES
Trinity,selfsupplied,Mgal/d,01/01/2000 00:00:00,0.5,YES
Trinity,selfsupplied,Mgal/d,01/01/2005 00:00:00,0.94,YES
Trinity,selfsupplied,Mgal/d,01/01/2010 00:00:00,0.48,YES
Trinity,selfpercapitause,gallons/day,01/01/2010 00:00:00,76,NO
Trinity,public,Mgal/d,01/01/2005 00:00:00,1.68,YES
Trinity,public,Mgal/d,01/01/2010 00:00:00,0.82,YES
Trinity,publicpercapita,gallons/day,01/01/2010 00:00:00,110,NO
Trinity,total,Mgal/d,01/01/2005 00:00:00,2.62,YES
Trinity,total,Mgal/d,01/01/2010 00:00:00,1.3,YES
Tulare,population,thousands,01/01/2000 00:00:00,103.42,NO
Tulare,population,thousands,01/01/2005 00:00:00,85.574,NO
Tulare,population,thousands,01/01/2010 00:00:00,67.239,YES
Tulare,groundwater,Mgal/d,01/01/2000 00:00:00,6.98,YES
Tulare,groundwater,Mgal/d,01/01/2005 00:00:00,25.89,YES
Tulare,groundwater,Mgal/d,01/01/2010 00:00:00,4.6,YES
Tulare,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.78,YES
Tulare,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,2.88,YES
Tulare,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.44,YES
Tulare,selfsupplied,Mgal/d,01/01/2000 00:00:00,7.76,YES
Tulare,selfsupplied,Mgal/d,01/01/2005 00:00:00,28.77,YES
Tulare,selfsupplied,Mgal/d,01/01/2010 00:00:00,5.04,YES
Tulare,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Tulare,public,Mgal/d,01/01/2005 00:00:00,62.03,YES
Tulare,public,Mgal/d,01/01/2010 00:00:00,50.25,YES
Tulare,publicpercapita,gallons/day,01/01/2010 00:00:00,134,NO
Tulare,total,Mgal/d,01/01/2005 00:00:00,90.8,NO
Tulare,total,Mgal/d,01/01/2010 00:00:00,55.29,YES
Tuolumne,population,thousands,01/01/2000 00:00:00,0.28,YES
Tuolumne,population,thousands,01/01/2005 00:00:00,4.767,YES
Tuolumne,population,thousands,01/01/2010 00:00:00,6.585,YES
Tuolumne,groundwater,Mgal/d,01/01/2000 00:00:00,0.02,YES
Tuolumne,groundwater,Mgal/d,01/01/2005 00:00:00,4.05,YES
Tuolumne,groundwater,Mgal/d,01/01/2010 00:00:00,0.15,YES
Tuolumne,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0,YES
Tuolumne,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0.04,YES
Tuolumne,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.04,YES
Tuolumne,selfsupplied,Mgal/d,01/01/2000 00:00:00,0.02,YES
Tuolumne,selfsupplied,Mgal/d,01/01/2005 00:00:00,4.09,YES
Tuolumne,selfsupplied,Mgal/d,01/01/2010 00:00:00,0.19,YES
Tuolumne,selfpercapitause,gallons/day,01/01/2010 00:00:00,29,YES
Tuolumne,public,Mgal/d,01/01/2005 00:00:00,14.96,YES
Tuolumne,public,Mgal/d,01/01/2010 00:00:00,5.85,YES
Tuolumne,publicpercapita,gallons/day,01/01/2010 00:00:00,120,NO
Tuolumne,total,Mgal/d,01/01/2005 00:00:00,19.05,YES
Tuolumne,total,Mgal/d,01/01/2010 00:00:00,6.04,YES
Ventura,population,thousands,01/01/2000 00:00:00,16.23,YES
Ventura,population,thousands,01/01/2005 00:00:00,1.98,YES
Ventura,population,thousands,01/01/2010 00:00:00,51.338,YES
Ventura,groundwater,Mgal/d,01/01/2000 00:00:00,0.83,YES
Ventura,groundwater,Mgal/d,01/01/2005 00:00:00,0.67,YES
Ventura,groundwater,Mgal/d,01/01/2010 00:00:00,2.43,YES
Ventura,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.09,YES
Ventura,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0.67,YES
Ventura,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,1.2,YES
Ventura,selfsupplied,Mgal/d,01/01/2000 00:00:00,0.92,YES
Ventura,selfsupplied,Mgal/d,01/01/2005 00:00:00,1.34,YES
Ventura,selfsupplied,Mgal/d,01/01/2010 00:00:00,3.63,YES
Ventura,selfpercapitause,gallons/day,01/01/2010 00:00:00,71,YES
Ventura,public,Mgal/d,01/01/2005 00:00:00,89,NO
Ventura,public,Mgal/d,01/01/2010 00:00:00,89.24,NO
Ventura,publicpercapita,gallons/day,01/01/2010 00:00:00,116,NO
